Brand,Processors Type,Series,Name,Model,CPU Socket Type,Core Name,# of Cores,# of Threads,Operating Frequency,Max Turbo Frequency,L3 Cache,Manufacturing Tech,64-Bit Support,Hyper-Threading Support,Memory Types,Memory Channel,Virtualization Technology Support,Integrated Graphics,Graphics Base Frequency,Graphics Max Dynamic Frequency,PCI Express Revision,Max Number of PCI Express Lanes,Thermal Design Power,Cooling Device,Date First Available,L2 Cache,Cooling Devices,Multimedia Instruction,Voltage,Options,DMI,Integrated Memory Controller Speed,QPI,FSB,L1 Cache,Hyper-Transport Support,
Intel,Desktop,Core i9 9th Gen,Core i9-9900K,BX80684I99900K,LGA 1151 (300 Series),Coffee Lake,8-Core,16,3.6 GHz,5.0 GHz,16MB,14nm,Yes,Yes,DDR4 2666,2,Yes,Intel UHD Graphics 630,350 MHz,1.2 GHz,3.0,16,95W,Cooling device not included - Processor Only,October 08  2018,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i7 9th Gen,Core i7-9700K,BX80684I79700K,LGA 1151 (300 Series),Coffee Lake,8-Core,8,3.6 GHz,4.9 GHz,12MB,14nm,Yes,No,DDR4 2666,2,Yes,Intel UHD Graphics 630,350 MHz,1.2 GHz,3.0,16,95W,Cooling device not included - Processor Only,October 08  2018,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i7 9th Gen,Core i7-9700KF,BX80684I79700KF,LGA 1151 (300 Series),Coffee Lake,8-Core,8,3.6 GHz,4.9 GHz,12MB,14nm,Yes,None,DDR4,2,None,None,None,None,3.0,16,95W,Cooling device not included - Processor Only,June 04  2019,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i5 9th Gen,Core i5-9600KF,BX80684I59600KF,LGA 1151 (300 Series),Coffee Lake,6-Core,6,3.7 GHz,4.6 GHz,9MB,14nm,Yes,No,DDR4 2666,2,Yes,None,None,None,3.0,16,95W,Cooling device not included - Processor Only,April 02  2019,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i3 8th Gen,Core i3-8100,BX80684I38100,LGA 1151 (300 Series),Coffee Lake,Quad-Core,4,3.6 GHz,None,6MB,14nm,Yes,No,DDR4 2400,2,Yes,Intel UHD Graphics 630,350 MHz,1.1 GHz,3.0,16,65W,Heatsink and fan included,April 03  2019,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i3 9th Gen,Core i3-9100F,BX80684i39100F,LGA 1151 (300 Series),Coffee Lake,Quad-Core,4,3.6 GHz,4.2 GHz,6MB,14nm,Yes,No,DDR4 2400,2,Yes,None,None,None,3.0,16,65W,Heatsink and fan included,May 30  2019,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i3 9th Gen,Core i3-9100,BX80684I39100,LGA 1151 (300 Series),Coffee Lake,Quad-Core,4,3.6 GHz,4.2 GHz,6MB,14nm,Yes,No,DDR4 2400,2,Yes,Intel UHD Graphics 630,350 MHz,1.1 GHz,3.0,16,65W,Heatsink and fan included,March 21  2019,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i5 9th Gen,Core i5-9400F,BX80684I59400F,LGA 1151 (300 Series),Coffee Lake,6-Core,6,2.9 GHz,4.1 GHz,9MB,14nm,Yes,No,DDR4 2666,2,Yes,None,None,None,3.0,16,65W,Heatsink and fan included,November 06  2019,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i9 X-Series,Core i9-9820X,BX80673I99820X,LGA 2066,Skylake X,10-Core,20,3.3 GHz,4.1 GHz,16.5MB,14nm,Yes,Yes,DDR4 2666,4,Yes,None,None,None,3.0,44,165W,Cooling device not included - Processor Only,November 29  2018,None,None,None,None,None,None,None,None,None,None,None
Intel,Desktop,Core i7 9th Gen,Core i7-9700,BX80684I79700,LGA 1151 (300 Series),Coffee Lake,8-Core,8,3.0 GHz,4.7 GHz,12MB,14nm,Yes,No,DDR4 2666,2,Yes,Intel UHD Graphics 630,350 MHz,1.2 GHz,3.0,16,65W,Heatsink and fan included,December 23  2019,None,None,None,None,None,None,None,None,None,None,None
